,V0207,V2020,V02426,V4621,faixas,Internet_Banda_Larga,Telefone_fixo
10755,Próprio-Já Pago,Não,Não,343.0,400,Não,Não
10756,Próprio-Já Pago,Não,Não,1093.0,+1000,Não,Não
10758,Próprio-Já Pago,Não,Não,827.0,900,Não,Não
10759,Próprio-Já Pago,Não,Não,320.0,400,Não,Não
10760,Próprio-Já Pago,Não,Sim,497.0,500,Sim,Não
10765,Próprio-Já Pago,Não,Não,297.0,300,Não,Não
10769,Próprio-Já Pago,Não,Não,966.0,1000,Não,Não
10770,Próprio-Já Pago,Não,Não,375.0,400,Não,Não
10772,Próprio-Já Pago,Não,Não,216.0,300,Não,Não
10774,Próprio-Já Pago,Não,Não,575.0,600,Não,Não
10776,Próprio-Já Pago,Não,Não,218.0,300,Não,Não
10780,Próprio-Já Pago,Não,Não,826.0,900,Não,Não
10785,Alugado,Sim,Sim,1792.0,+1000,Sim,Sim
10786,Próprio-Já Pago,Sim,Sim,5175.0,+1000,Sim,Sim
10792,Próprio-Já Pago,Não,Sim,822.0,900,Sim,Não
10800,Próprio-Já Pago,Sim,Sim,999999999999.0,+1000,Sim,Sim
10812,Próprio-Já Pago,Sim,Não,653.0,700,Não,Sim
10813,Próprio-Já Pago,Sim,Sim,3616.0,+1000,Sim,Sim
10819,Próprio-Já Pago,Sim,Sim,3320.0,+1000,Sim,Sim
10820,Próprio-Já Pago,Não,Sim,1625.0,+1000,Sim,Não
10821,Próprio-Já Pago,Sim,Sim,683.0,700,Sim,Sim
10823,Próprio-Já Pago,Sim,Sim,1447.0,+1000,Sim,Sim
10826,Próprio-Já Pago,Sim,Sim,3000.0,+1000,Sim,Sim
10827,Próprio-Já Pago,Sim,Sim,1387.0,+1000,Sim,Sim
10828,Próprio-Já Pago,Sim,Sim,850.0,900,Sim,Sim
10829,Próprio-Já Pago,Sim,Sim,1262.0,+1000,Sim,Sim
10830,Próprio-Já Pago,Sim,Não,5650.0,+1000,Não,Sim
10833,Alugado,Não,Não,13000.0,+1000,Não,Não
10839,Próprio-Já Pago,Sim,Sim,2368.0,+1000,Sim,Sim
10841,Alugado,Sim,Sim,999999999999.0,+1000,Sim,Sim
10852,Alugado,Não,Não,526.0,600,Não,Não
10857,Próprio-Já Pago,Sim,Não,1833.0,+1000,Não,Sim
10861,Próprio-Já Pago,Sim,Não,2044.0,+1000,Não,Sim
10865,Alugado,Não,Sim,724.0,800,Sim,Não
10871,Próprio-Já Pago,Sim,Sim,3000.0,+1000,Sim,Sim
10876,Próprio-Já Pago,Sim,Sim,9583.0,+1000,Sim,Sim
10886,Próprio-Já Pago,Sim,Sim,8450.0,+1000,Sim,Sim
10893,Próprio-Já Pago,Sim,Sim,5333.0,+1000,Sim,Sim
10898,Próprio-Já Pago,Sim,Sim,13500.0,+1000,Sim,Sim
10911,Próprio-Já Pago,Sim,Sim,4875.0,+1000,Sim,Sim
10915,Próprio-Ainda Pagando,Sim,Sim,3944.0,+1000,Sim,Sim
10916,Próprio-Já Pago,Sim,Sim,5000.0,+1000,Sim,Sim
10919,Próprio-Já Pago,Sim,Sim,2261.0,+1000,Sim,Sim
10923,Alugado,Sim,Sim,2760.0,+1000,Sim,Sim
10924,Próprio-Já Pago,Não,Sim,750.0,800,Sim,Não
10926,Próprio-Ainda Pagando,Sim,Não,999999999999.0,+1000,Não,Sim
10929,Próprio-Ainda Pagando,Sim,Sim,4975.0,+1000,Sim,Sim
10930,Próprio-Já Pago,Sim,Sim,764.0,800,Sim,Sim
10931,Próprio-Já Pago,Sim,Sim,600.0,700,Sim,Sim
10932,Próprio-Já Pago,Não,Não,3490.0,+1000,Não,Não
10933,Próprio-Já Pago,Não,Não,647.0,700,Não,Não
10936,Alugado,Não,Não,596.0,600,Não,Não
10937,Próprio-Já Pago,Não,Não,492.0,500,Não,Não
10938,Próprio-Já Pago,Sim,Sim,9000.0,+1000,Sim,Sim
10940,Próprio-Ainda Pagando,Sim,Sim,1819.0,+1000,Sim,Sim
10941,Alugado,Sim,Sim,1277.0,+1000,Sim,Sim
10942,Próprio-Já Pago,Sim,Sim,35400.0,+1000,Sim,Sim
10943,Próprio-Já Pago,Sim,Sim,4985.0,+1000,Sim,Sim
10944,Alugado,Não,Sim,1525.0,+1000,Sim,Não
10945,Próprio-Já Pago,Sim,Sim,590.0,600,Sim,Sim
